,title,genre,day,star,synopsis,director,actor
10,킹스맨: 골든 서클,"액션, 모험, 코미디", 2017.09.27. ,8.6,"철저하게 비밀에 둘러싸인 채 세상을 안전하게 지키는 임무를 수행해온 독자적인 국제 정보 조직 킹스맨. 그러나 어느 날 국제적 범죄조직 골든 서클에 의해 킹스맨 본부가 무참히 파괴된다. 에그시(태런 에저튼)와 멀린(마크 스트롱)은 킹스맨 ‘최후의 날’ 규약에 따라 발견된 위스키 병에서 ‘미국 켄터키’라는 키워드를 얻게 되고, 그 곳에서 형제 조직인 스테이츠맨의 존재를 알게 된다. 전 세계를 장악하기 위해 위협적인 비지니스를 추진 중인 골든 서클과 수장 포피(줄리안 무어). 이들의 계획을 막기 위한 킹스맨과 스테이츠맨의 작전이 시작된다.",매튜 본,"['콜린 퍼스', '줄리안 무어', '태런 에저튼', '마크 스트롱']"
11,토르: 라그나로크,"액션, 모험, 판타지, SF", 2017.10.25. ,9.03,"죽음의 여신 ‘헬라’가 아스가르드를 침략하고, 세상은 모든 것의 종말 ‘라그나로크’의 위기에 처한다. 헬라에게 자신의 망치마저 파괴당한 토르는 어벤져스 동료인 헐크와도 피할 수 없는 대결을벌이면서 절체절명의 위기에 빠지게 되는데…",타이카 와이티티,"['크리스 헴스워스', '마크 러팔로', '톰 히들스턴', '케이트 블란쳇']"
12,강철비,"드라마, 액션", 2017.12.14. ,7.97,"북미 평화협정 체결을 위한 대한민국 대통령(정우성), 북한의 최고지도자인 위원장(유연석)과 미국 대통령(앵거스 맥페이든)간의 남북미 정상회담이 북한 원산에서 열린다. 북미 사이 좀처럼 이견이 좁혀지지 않는 가운데, 핵무기 포기와 평화체제 수립에 반발하는 북 호위총국장(곽도원)의 쿠데타가 발생하고, 납치된 세 정상은 북한 핵잠수함에 인질로 갇힌다. 그리고, 좁디 좁은 함장실 안, 예기치 못한 진정한 정상회담이 벌어지게 되는데… 동북아시아의 운명이 핵잠수함에 갇혔다! 과연, 남북미 세 지도자는 전쟁 위기를 막을 수 있을 것인가?",양우석,"['정우성', '곽도원', '유연석', '앵거스 맥페이든']"
13,꾼,범죄, 2017.11.22. ,8.32,"대한민국을 발칵 뒤집어 놓은 ‘희대의 사기꾼’ 장두칠이 돌연 사망했다는 뉴스가 발표된다. 그러나 그가 아직 살아있다는 소문과 함께 그를 비호했던 권력자들이 의도적으로 풀어준 거라는 추측이 나돌기 시작한다. 사기꾼만 골라 속이는 사기꾼 지성(현빈)은 장두칠이 아직 살아있다며 사건 담당 검사 박희수(유지태)에게 그를 확실하게 잡자는 제안을 한다. 박검사의 비공식 수사 루트인 사기꾼 3인방 고석동(배성우), 춘자(나나), 김 과장(안세하)까지 합류시켜 잠적한 장두칠의 심복 곽승건(박성웅)에게 접근하기 위한 새로운 판을 짜기 시작한다. 하지만 박검사는 장두칠 검거가 아닌 또 다른 목적을 위해 은밀히 작전을 세우고, 이를 눈치 챈 지성과 다른 꾼들도 서로 속지 않기 위해 각자만의 계획을 세우기 시작하는데… 이 판에선 누구도 믿지 마라! 진짜 ‘꾼’들의 예측불가 팀플레이가 시작된다!",장창원,"['현빈', '유지태', '배성우', '박성웅']"
14,남한산성,드라마, 2017.10.03. ,8.17,"1636년 인조 14년 병자호란. 청의 대군이 공격해오자 임금과 조정은 적을 피해 남한산성으로 숨어든다. 추위와 굶주림, 절대적인 군사적 열세 속 청군에 완전히 포위된 상황, 대신들의 의견 또한 첨예하게 맞선다. 순간의 치욕을 견디고 나라와 백성을 지켜야 한다는 이조판서 ‘최명길’(이병헌)과 청의 치욕스런 공격에 끝까지 맞서 싸워 대의를 지켜야 한다는 예조판서 ‘김상헌’(김윤석). 그 사이에서 ‘인조’(박해일)의 번민은 깊어지고, 청의 무리한 요구와 압박은 더욱 거세지는데... 나아갈 곳도 물러설 곳도 없는 고립무원의 남한산성 나라의 운명이 그곳에 갇혔다!",황동혁,"['이병헌', '김윤석', '박해일', '고수']"
15,너의 이름은.,애니메이션, 2017.01.04. ,9.02,"아직 만난 적 없는 너를, 찾고 있어 천년 만에 다가오는 혜성 기적이 시작된다 도쿄에 사는 소년 ‘타키’와 시골에 사는 소녀 ‘미츠하’는 서로의 몸이 뒤바뀌는 신기한 꿈을 꾼다 낯선 가족, 낯선 친구들, 낯선 풍경들... 반복되는 꿈과 흘러가는 시간 속, 마침내 깨닫는다 우리, 서로 뒤바뀐 거야? 절대 만날 리 없는 두 사람 반드시 만나야 하는 운명이 되다 서로에게 남긴 메모를 확인하며 점점 친구가 되어가는 ‘타키’와 ‘미츠하’ 언제부턴가 더 이상 몸이 바뀌지 않자 자신들이 특별하게 이어져있었음을 깨달은 ‘타키’는 ‘미츠하’를 만나러 가는데... 잊고 싶지 않은 사람 잊으면 안 되는 사람 너의 이름은?",신카이 마코토,"['카미키 류노스케', '카미시라이시 모네', '나가사와 마사미', '나리타 료']"
16,미이라,"액션, 모험, 판타지", 2017.06.06. ,9.23,"고대 이집트의 파라오 중 가장 영화를 누렸던 세티 1세의 시대. 세티 1세의 정부인 앙크수나문(Anck-Su-Namum: 패트리시아 베라즈퀘즈 분)과 세티 1세의 총애을 한몸에 받던 승정원 이모탭(Imhotep: 아놀드 보슬루 분)은 금진된 사랑에 빠진다. 그러나 그들의 운명적인 사랑은 얼마되지 않아 파라오에게 발각되고 이에 앙크수나문은 자결하게 된다. 이모텝은 흑마서의 주문으로 그녀를 부활시키려 하지만, 파라오의 근위대에 붙잡히게 되고, '홈다이'라는 형벌에 처해진다. 홈다이란 산 채로 석관에 갇혀 영원히 생시체가 되는 끔찍한 극형. 결국 금지된 사랑은 파라오의 저주로 비극적인 끝을 맺고 왕족들이 잠든 하무납트라는 죽음의 도시가 되어 역사 속에 묻힌다. 황금의 유물을 찾아 여러 탐험가들이 하무납트라를 찾아오지만 하나 같이 의문의 죽음을 당하고, 전투 중에 피신했던 외인부대 장교 오커넬(Rick O'Connell: 브랜든 프레이저 분)만이 유일하게 살아남는다. 그 소식을 들은 이집트 박물관 사서 이비(Evelyn: 레이첼 와이즈 분)와 그녀의 오빠 조나단(Jonathan: 존 한나 분)이 오커넬을 찾아오고 죽음의 도시 하무납트라에 관한 단서를 듣게 된다. 용기와 모험심으로 뭉친 세 사람은 의기 투합하여 하무납트라의 황금유물을 찾아 떠나기로 한다. 한편 파라오의 저주를 푸는 열쇠를 손에 넣은 조나단은 실수로 이모텝을 부활시키고, 마침내 3천년을 기다려온 엄청난 분노가 온 이집트를 뒤덮는데. 아무것도 모르는 세 사람은 죽음과 저주의 왕국 한 가운데에서 살아난 미이라와의 사투를 벌인다.",스티븐 소머즈,"['브렌든 프레이저', '레이첼 와이즈', '존 한나', '아놀드 보슬로']"
17,분노의 질주: 더 익스트림,"액션, 범죄, 스릴러", 2017.04.12. ,9.18,"마침내 평화로운 일상으로 돌아온 리더 ‘도미닉’(빈 디젤)과 멤버들. 그러던 어느 날, 멤버들은 도미닉이 첨단 테러 조직의 리더 ‘사이퍼’(샤를리즈 테론)와 함께 사상 최악의 테러를 계획하고 있음을 알게 된다. 리더의 배신으로 위기에 놓인 멤버들은 한때 팀을 모두 전멸시키려 했던 ‘데카드 쇼’(제이슨 스타뎀)까지 영입해 최악의 적이 되어버린 도미닉과의 피할 수 없는 대결을 앞두게 되는데…",F. 게리 그레이,"['빈 디젤', '드웨인 존슨', '샤를리즈 테론', '제이슨 스타뎀']"
18,슈퍼배드 3,"애니메이션, 모험, 코미디", 2017.07.26. ,8.76,"최고의 악당만을 보스로 섬기는 ‘미니언’ 가족을 위해 악당 은퇴를 선언한 ‘그루’ 그루의 배신에 실망한 미니언들은 스스로 악당이 되기 위해 그루를 떠난다. 한편, 같은 얼굴 다른 스펙의 쌍둥이 동생 ‘드루’의 등장으로 인해 그루는 자신이 역사상 가장 위대한 악당 가문의 후예임을 알게 되고, 거부할 수 없는 슈퍼배드의 운명을 따르게 되는데… 돌아온 그루와 미니언들은 다시 함께할 수 있을까?",카일 발다,"['피에르 꼬팽', '스티브 카렐', '크리스틴 위그', '트레이 파커']"
19,아이 캔 스피크,드라마, 2017.09.21. ,9.23,"온 동네를 휘저으며 무려 8천 건에 달하는 민원을 넣어 도깨비 할매라고 불리는 ‘옥분’. 20여 년간 누구도 막을 수 없었던 그녀 앞에 원칙주의 9급 공무원 ‘민재’가 나타나면서 팽팽한 긴장감이 흐른다. 민원 접수만큼이나 열심히 공부하던 영어가 좀처럼 늘지 않아 의기소침한 ‘옥분’은 원어민 수준의 영어를 구사하는 ‘민재’를 본 후 선생님이 되어 달라며 시간과 장소를 불문하고 부탁하기에 이른다. 둘만의 특별한 거래를 통해 결코 어울리지 않을 것 같았던 두 사람의 영어 수업이 시작되고, 함께하는 시간이 계속 될수록 서로를 이해하고 소통하게 되면서 친구이자 가족이 되어 간다. ‘옥분’이 영어 공부에 매달리는 이유가 내내 궁금하던 ‘민재’는 어느 날, 그녀가 영어로 꼭 하고 싶은 말이 있다는 것을 알게 되는데…",김현석,"['나문희', '이제훈', '박철민', '염혜란']"
20,캐리비안의 해적: 죽은 자는 말이 없다,"액션, 모험, 코미디, 판타지", 2017.05.24. ,8.58,"전설적인 해적 캡틴 ‘잭 스패로우’(조니 뎁)의 눈 앞에 죽음마저 집어삼킨 바다의 학살자 ‘살라자르’(하비에르 바르뎀)가 복수를 위해 찾아온다. 둘 사이에 숨겨진 엄청난 비밀··· 잭은 자신과 동료들의 죽음에 맞서 살아남기 위해 사투를 시작하는데··· 지금, 모든 것을 압도할 거대한 전투가 펼쳐진다!",요아킴 뢰닝,"['에스펜 잔드베르크', '조니 뎁', '하비에르 바르뎀', '제프리 러쉬']"
21,프리즌,"범죄, 액션", 2017.03.23. ,8.25,"밤이 되면 죄수들이 밖으로 나가 대한민국 완전범죄를 만들어내는 교도소 그 교도소의 권력 실세이자 왕으로 군림하는 익호(한석규). 그 곳에 검거율 100%로 유명한 전직 경찰 유건(김래원)이 뺑소니, 증거인멸, 경찰 매수의 죄목으로 입소하게 되고, 특유의 깡다구와 다혈질 성격으로 익호의 눈에 띄게 된다. 익호는 유건을 새로운 범죄에 앞세우며 점차 야욕을 내보이는데 … 세상을 움직이는 놈들은 따로 있다 감옥 문이 열리면 큰 판이 시작된다!",나현,"['한석규', '김래원', '강신일', '이경영']"
22,덩케르크,"액션, 드라마, 스릴러, 전쟁", 2017.07.20. ,8.61,"해변: 보이지 않는 적에게 포위된 채 어디서 총알이 날아올지 모르는 위기의 일주일 바다: 군인들의 탈출을 돕기 위해 배를 몰고 덩케르크로 항해하는 하루 하늘: 적의 전투기를 공격해 추락시키는 임무, 남은 연료로 비행이 가능한 한 시간 “우리는 해변에서 싸울 것이다. 우리는 상륙지에서 싸울 것이다. 우리는 들판에서 싸우고 시가에서도 싸울 것이다. 우리는 끝까지 싸울 것이다”",크리스토퍼 놀란,"['핀 화이트헤드', '마크 라이런스', '톰 하디', '해리 스타일스']"
23,가디언즈 오브 갤럭시 VOL. 2,"액션, SF", 2017.05.03. ,9.05,최강 빌런 ‘타노스’에 맞서 은하계를 구하고 최고의 해결사로 등극한 ‘가.오.갤’ 멤버들. 하지만 외계 여사제 ‘아이샤’가 맡긴 임무를 수행하던 중 실수로 또 다시 쫓기는 신세로 전락한다. 한편 자신에게 숨겨진 힘의 원천에 대해 고민하던 리더 ‘스타로드’는 갑작스레 나타난 아버지로 인해 또 다른 위기에 빠지게 되는데…,제임스 건,"['크리스 프랫', '조 샐다나', '데이브 바티스타', '빈 디젤']"
24,살인자의 기억법,"범죄, 스릴러", 2017.09.06. ,8.17,"예전에는 연쇄살인범이었지만 지금은 알츠하이머에 걸린 병수. 우연히 접촉사고로 만나게 된 남자 태주에게서 자신과 같은 눈빛을 발견하고 그 역시 살인자임을 직감한다. 병수는 경찰에 그를 연쇄살인범으로 신고하지만 태주가 그 경찰이었고, 아무도 병수의 말을 믿지 않는다. 태주는 은희 곁을 맴돌며 계속 병수의 주변을 떠나지 않고, 병수는 혼자 태주를 잡기 위해 필사적으로 기록하고 쫓지만 기억은 자꾸 끊기고, 오히려 살인 습관들이 되살아나며 병수는 망상과 실제 사이에서 혼란스러워진다. 다시 시작된 연쇄 살인사건, 놈의 짓이 맞을까! 네 기억은 믿지 마라! 그 놈은 살인자다!",원신연,"['설경구', '김남길', '설현', '오달수']"
25,트랜스포머: 최후의 기사,"액션, 모험, SF", 2017.06.21. ,6.9,"옵티머스 프라임은 더 이상 인간의 편이 아니다. 트랜스포머의 고향 사이버트론의 재건을 위해 지구에 있는 고대 유물을 찾아나선 옵티머스 프라임은 인류와 피할 수 없는 갈등을 빚고, 오랜 동료 범블비와도 치명적인 대결을 해야만 하는데… 영원한 영웅은 없다! 하나의 세상이 존재하기 위해선 다른 세상이 멸망해야 한다!",마이클 베이,"['마크 월버그', '안소니 홉킨스', '로라 하드독', '조쉬 더하멜']"
26,보안관,범죄, 2017.05.03. ,8.26,"과잉 수사로 잘리고 낙향한 전직 형사 대호(이성민) 보안관을 자처하며 바다만큼 드넓은 오지랖으로 고향 ‘기장’ 을 수호한다. 평화롭던 동네에 비치타운 건설을 위해 성공한 사업가 종진(조진웅)이 서울에서 내려온 그때, 인근 해운대에 마약이 돌기 시작한다. 종진의 모든 행보가 의심스러운 대호는 그를 마약사범으로 의심해 처남 덕만(김성균)을 조수로 ‘나 홀로 수사’에 나서지만 민심은 돈 많고 세련된 종진에게로 옮겨간 지 오래… 두고 봐라, 이래 당하고만 있겠나. 게임은 인자 시작이다!",김형주,"['이성민', '조진웅', '김성균', '김종수']"
27,조작된 도시,"액션, 범죄", 2017.02.09. ,8.56,"게임 세계 속에서는 완벽한 리더지만 현실에서는 평범한 백수인 ‘권유’(지창욱). PC방에서 우연히 휴대폰을 찾아 달라는 낯선 여자의 전화를 받게 되고 이후, 영문도 모른 채 그녀를 잔인하게 살해한 범인으로 몰리게 된다 모든 증거는 짜맞춘 듯 권유를 범인이라 가리키고, 아무도 그의 결백을 믿어주지 않는 가운데 권유의 게임 멤버이자 초보 해커인 ‘여울’(심은경)은 이 모든 것이 단 3분 16초 동안, 누군가에 의해 완벽하게 조작되었음을 알게 된다. 특수효과 전문 ‘데몰리션’(안재홍)을 비롯 게임 멤버가 모두 모여 자신들만의 새로운 방식으로 사건의 실체를 추적해나가기 시작하고, 조작된 세상에 맞서기 위한 짜릿한 반격에 나서는데...! 살인자로 조작된 시간, 단 3분 16초 그들이 짜놓은 세상, 우리가 뒤집는다!",배종,"['지창욱', '심은경', '안재홍', '오정세']"
28,보스 베이비,"애니메이션, 모험, 코미디", 2017.05.03. ,,베이비 주식회사의 레전드 보스 베이비에서 인생 만렙 CEO가 된 ‘테드’. 베이비인 줄 알았던 조카 ‘티나’가 알고 보니 베이비 주식회사 소속이라니! 뉴 보스 베이비 ‘티나’의 지시로 ‘테드’는 형과 함께 다시 베이비로 돌아가야만 하는데… 보스 베이비 IS BACK,톰 맥그라스,"['알렉 볼드윈', '에이미 세다리스', '제임스 마스던', '제프 골드브럼']"
29,재심,드라마, 2017.02.15. ,8.7,"대한민국을 뒤흔든 택시기사 살인사건 발생! 유일한 목격자였던 10대 소년 현우는 경찰의 강압적인 수사에 누명을 쓰고 10년을 감옥에서 보내게 된다 한편, 돈도 빽도 없이 빚만 쌓인 벼랑 끝 변호사 준영은 거대 로펌 대표의 환심을 사기 위한 무료 변론 봉사 중 현우의 사건을 알게 되고 명예와 유명세를 얻기에 좋은 기회라는 본능적 직감을 하게 된다. 그러나 실제로 현우를 만난 준영은 다시 한번 정의감에 가슴이 뜨거워지는 자신을 발견하게 되고 현우는 준영의 도움으로 다시 한번 세상을 믿어볼 희망을 찾게 되는데.. 다시 심장을 뛰게 만들 진심을 만나라! 제8회 호주한국영화제 초청 상영 (2017) 제6회 프랑크푸르트한국영화제 초청 상영 (2017)",김태윤,"['정우', '강하늘', '김해숙', '이동휘']"
30,박열,"드라마, 모험, 멜로/로맨스", 2017.06.28. ,8.48,"1923년, 관동대지진 이후 퍼진 괴소문으로 6천여 명의 무고한 조선인이 학살된다. 사건을 은폐하기 위해, 관심을 돌릴 화젯거리가 필요했던 일본내각은 '불령사'를 조직해 항일운동을 하던 조선 청년 '박열'을 대역사건의 배후로 지목한다. ""그들이 원하는 영웅이 돼줘야지"" 일본의 계략을 눈치챈 '박열'은 동지이자 연인인 가네코 후미코와 함께 일본 황태자 폭탄 암살 계획을 자백하고, 사형까지 무릅쓴 역사적인 재판을 시작하는데.... 조선인 최초의 대역죄인! 말 안 듣는 조선인 중 가장 말 안 듣는 조선인! 역사상 가장 버릇없는 피고인! 일본 열도를 발칵 뒤집은 사상 초유의 스캔들! 그 중심에 '박열'이 있었다!",이준익,"['이제훈', '최희서', '김인우', '야마노우치 타스쿠']"
31,모아나,"애니메이션, 모험, 코미디, 가족, 판타지, 뮤지컬", 2017.01.12. ,9.22,"모든 것이 완벽했던 모투누이 섬이 저주에 걸리자 바다가 선택한 소녀 모아나는 섬을 구하기 위해 머나먼 항해를 떠난다. 저주를 풀기 위해서는 오직 신이 선택한 전설의 영웅 마우이의 힘이 필요한 상황! 모아나는 마우이를 우여곡절 끝 설득해, 운명적 모험을 함께 떠나는데… 바다가 부르면 운명적 모험이 시작된다!",론 클레멘츠,"['존 머스커', '아우이 크라발호', '드웨인 존슨', '레이첼 하우스']"
32,로건,액션, 2017.03.01. ,8.94,"가까운 미래, 능력을 잃어가는 ‘로건(울버린)’은 멕시코 국경 근처의 한 은신처에서 병든 ‘프로페서 X’를 돌보며 살아간다. 세상으로부터 자신을 숨기며 살아가고자 했던 ‘로건’은 정체불명의 집단에게 쫓기는 돌연변이 소녀 ‘로라’를 만나게 되고, 그녀를 지키기 위해 모든 것을 건 대결을 펼치게 되는데…",제임스 맨골드,"['휴 잭맨', '다프네 킨', '패트릭 스튜어트', '보이드 홀브룩']"
33,원더 우먼,액션, 2017.05.31. ,7.54,"1984년 모든 것이 활기찬 시대, 다이애나 프린스는 고고학자로서 인간들 사이에서 조용히 살고 있다. 단지 원더 우먼으로서 위기에 처한 사람을 구할 때만 빼고는. 그런 다이애나 앞에 거짓말처럼 죽었던 스티브 트레버가 나타나고, 거부할 수 없는 적마저 함께 찾아오는데… 지나친 풍요로움이 과잉이 되어 또 다시 위협받는 인류, 위태로운 세상에 오직 원더 우먼만이 희망이다! 그 어떤 적도 피하지 않는다!",패티 젠킨스,"['갤 가돗', '크리스 파인', '크리스틴 위그', '페드로 파스칼']"
